Year,net_greenhouse_pc,industrial_production,naturalgas_imports
1990,0.60321985,-0.228958867,-1.657746313
1991,0.356085727,-0.33096306,-1.497948545
1992,0.356085727,-0.441802263,-1.440226443
1993,0.438463768,-0.69801752,-1.553046915
1994,0.191329644,-0.07715735,-1.73983164
1995,0.520841809,0.563782385,-1.417612372
1996,0.438463768,0.371821738,-1.244446065
1997,0.60321985,0.807146721,-1.119568919
1998,0.850353974,0.952522777,-0.897113934
1999,0.767975933,0.922805019,-0.469945389
2000,0.932732015,1.423187796,0.02750169
2001,0.767975933,1.201509391,-0.139417636
2002,0.767975933,1.0207933,0.142696015
2003,1.097488098,0.945294133,0.361527752
2004,1.097488098,0.923608202,0.680998349
2005,1.015110056,0.8497154,1.027830721
2006,0.850353974,1.275402192,1.273899294
2007,1.097488098,1.558122477,1.058440927
2008,0.60321985,1.045691961,1.240665356
2009,-0.302938603,-1.171092087,0.764832831
2010,-0.220560562,-0.492402768,1.146148537
2011,-0.302938603,-0.41047814,0.834736545
2012,-0.467694686,-1.012061927,0.669566374
2013,-1.209097057,-1.314861777,0.309802751
2014,-1.620987263,-1.375903657,-0.078072285
2015,-1.45623118,-1.277915377,0.266073886
2016,-1.373853139,-1.080332451,0.517077573
2017,-1.209097057,-0.71327799,0.789823128
2018,-1.45623118,-0.627337449,0.678777297
2019,-1.620987263,-0.747011661,0.878231461
2020,-2.11525551,-1.861829146,0.58634597
