"","net_greenhouse_pc_d2","naturalgas_imports_2","oil_imports_2"
"1",0.299999999999999,-1634,9755
"2",0.0999999999999996,-2730,-7337
"3",-0.4,-1184,-574
"4",0.700000000000001,8148,-11
"5",-0.5,-2386,2879
"6",0.299999999999999,-773,158
"7",0.100000000000001,1562,2643
"8",-0.4,3277,-8987
"9",0.299999999999999,1125,7544
"10",-0.399999999999999,-10635,-5611
"11",0.199999999999999,7188,4216
"12",0.4,-1013,169
"13",-0.4,1611,-1911
"14",-0.100000000000001,438,1086
"15",-0.0999999999999979,-1613,-1595
"16",0.5,-7388,2060
"17",-0.900000000000002,6366,-6908
"18",-0.499999999999998,-10534,-1580
"19",1.2,13721,10314
"20",-0.199999999999999,-11089,-9642
"21",-0.0999999999999996,2341,2513
"22",-0.700000000000001,-3115,-3245
"23",0.4,-450,1098
"24",0.7,11718,15906
"25",-0.100000000000001,-1491,-8298
"26",0.100000000000001,348.038,2253.976
"27",-0.5,-6143.63,-6587.73199999999
"28",0.0999999999999996,4970.40100000001,2494.80799999999
"29",-0.399999999999999,-7865.23400000001,-14094.309
