"","net_greenhouse_pc_1","res_capacity_1","total_energy_supply_1"
"1",-0.299999999999999,381,42029.689
"2",0,205,-10866.7069999999
"3",0.0999999999999996,344,-9080.28799999994
"4",-0.300000000000001,120,-21694.8570000001
"5",0.4,106,146326.04
"6",-0.0999999999999996,143,-967.726000000024
"7",0.199999999999999,220,26616.892
"8",0.300000000000001,352,52546.932
"9",-0.0999999999999996,551,29711.5179999999
"10",0.199999999999999,217,37235.5079999999
"11",-0.199999999999999,427,6876.33700000006
"12",0,444,14352.8900000001
"13",0.4,478,96297.76
"14",0,364,14845.9479999999
"15",-0.100000000000001,758,39004.2689999999
"16",-0.199999999999999,395,-19811.4529999997
"17",0.300000000000001,980,-6385.25900000008
"18",-0.600000000000001,1447,-28603.2969999998
"19",-1.1,2438,-141435.288
"20",0.0999999999999996,3518,47708.2509999999
"21",-0.0999999999999996,11175,-66696.9299999999
"22",-0.199999999999999,5652,-76779.6030000001
"23",-0.9,2166,-69200.9099999999
"24",-0.5,697,-100253.794
"25",0.2,894,67377.0690000001
"26",0.0999999999999996,779,-18392.5700000001
"27",0.2,897.008999999998,59449.0649999999
"28",-0.3,1051.78600000001,-34177.3189999999
"29",-0.2,1218.87699999999,-19661.817
"30",-0.6,1141.887,-132159.461
